Judet,Nume Unitati,Tip,Latitudine,Longitudine
Alba,"Școala Gimnazială ""Avram Iancu"" Alba Iulia, din mun. Alba Iulia, județul Alba",Școală Gimnazială,46.0623309,23.5787772
Alba,"Școala Gimnazială ""Axente Sever"" Aiud, județul Alba",Școală Gimnazială,46.3087347,23.7296554
Alba,"Școală Gimnazială ""Mihai Eminescu"" Alba Iulia, Județul Alba",Școală Gimnazială,46.075334,23.5600589
Alba,"Liceul Tehnologic Sebeș, Județul Alba",Liceu,45.9573864,23.5649436
Arad,"Colegiul ""Csiky Gergely"" Arad, județul Arad",Colegiu,46.1711839,21.3068682
Argeş,"Grădinița cu program prelungit ""Academia Piticilor"" structura nr.2, judeţul Argeş",Grădiniță,45.0722527,24.8142726
Argeș,"Colegiul Tehnic ""Costin D. Nenițescu"" Pitești, localitatea Pitești, județul Argeș",Colegiu,44.8315726,24.9098092
Argeș,"Școala Gimnazială ""Adrian Păunescu"", din mun.Pitești, județul Argeș",Școală Gimnazială,44.8723247,24.8395944
Argeș,"Liceul Tehnologic ""Regele Mihai I"" Curtea de Argeș, din localitatea Curtea de Argeș, județul Argeș",Liceu Tehnologic,45.153452,24.6760829
Argeș,"Grădinița cu program prelungit ""Campionii"", Mioveni, Argeș",Grădiniță,44.8927436,24.8224607
Argeș,"Școala Gimnazială Nr.1 Vulturești, Argeș",Școală Gimnazială,45.0717448,25.0832134
Argeș,"Școala Gimnazială Nr. 1 Poienarii de Muscel, Argeș",Școală Gimnazială,45.2337584,25.0807909
Bacău,"Școala Gimnazială ""Mihail Sadoveanu"", județul Bacău",Școală Gimnazială,46.5818124,26.9057653
Bacău,"Centrul Școlar de Educație Incluzivă Nr. 1 Bacău, localitatea Bacău, județul Bacău",Centrul Școlar de Educație Incluzivă,46.5338083,26.9159272
Bacău,"Școala Gimnazială George Bacovia, Bacău",Școală Gimnazială,46.5508207,26.9103858
Bacău,"Școala ""Domnița Maria"", județul Bacău",Școală,46.5436032,26.9144571
Bacău,"Şcoala Gimnazială ""Nicolae Iorga"" Bacău",Școală Gimnazială,46.538779,26.919882
Bacău,"Școala Nr. 10 Bacău, județul Bacău",Școală,46.5504404,26.9149881
Bacău,"Centrul Județean de Resurse și Asistență Educațională Bacău, județul Bacău",Centrul Județean de Resurse și Asistență Educațională,46.5681191,26.9050289
Bacău,"Colegiul Național ""Grigore Moisil"" Onești, județul Bacău",Colegiu Național,46.2480237,26.7615017
Bacău,"Școala Gimnazială ""Nicolae Bălcescu"", Comuna ""Nicolae Bălcescu"", județul Bacău",Școală Gimnazială,46.4828024,26.9166809
Bacău,"Școala Gimnazială ""Mihai Eminescu"", oraș Buhuși, județul Bacău",Școală Gimnazială,46.661943,26.7734302
Bacău,"Liceul Tehnologic Târgu Ocna, din localitatea Târgu Ocna, județul Bacău",Liceu Tehnologic,46.278989,26.6038603
Bacău,"Școala Gimnazială Horgești, Horgești"" Județul Bacău",Școală Gimnazială,46.4369288,27.0698744
Bihor,"Colegiul Național ""Octavian Goga"" din localitatea Marghita, județul Bihor",Colegiu Național,47.3479194,22.3397566
Bihor,"Școala Gimnazială ""Dimitrie Cantemir"" Oradea, județul Bihor",Școală Gimnazială,47.0404202,21.9403762
Bihor,"Liceul Teoretic Nr.1 Bratca, Bratca, Județul Bihor",Liceu Teoretic,46.9270638,22.6012973
Bihor,"Școală Gimnazială ""Oltea Doamna"", Județul Bihor",Școală Gimnazială,47.0573076,21.9369044
Bihor,"Centrul Școlar de Educație Incluzivă nr.1 din localitatea Oradea, județul Bihor",Centrul Școlar de Educație Incluzivă,47.0640602,21.9286473
